epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,597.967,0.60329,2.80137,1.08049,0.8296,0.91489,0.94526,0.85897,0.50981,0.85369,1.09224,6.96756e-05,6.96756e-05,6.96756e-05
40,613.179,0.56847,2.68378,1.06227,0.79271,0.91308,0.95491,0.86738,0.53814,0.81981,1.13937,6.90618e-05,6.90618e-05,6.90618e-05
41,628.336,0.57842,2.62924,1.0714,0.83648,0.93733,0.9579,0.88541,0.43631,0.79368,1.04708,6.8448e-05,6.8448e-05,6.8448e-05
42,643.495,0.60602,2.59812,1.09238,0.8121,0.94526,0.95619,0.88799,0.47005,0.7738,1.06822,6.78342e-05,6.78342e-05,6.78342e-05
43,658.763,0.55258,2.49951,1.04439,0.86294,0.93359,0.95464,0.88626,0.47075,0.70258,1.0652,6.72204e-05,6.72204e-05,6.72204e-05
44,673.98,0.59452,2.5371,1.08457,0.88398,0.89745,0.95874,0.89639,0.46365,0.69879,1.05712,6.66066e-05,6.66066e-05,6.66066e-05
45,689.163,0.54773,2.42059,1.05017,0.85113,0.93317,0.96151,0.89853,0.45034,0.65143,1.05175,6.59928e-05,6.59928e-05,6.59928e-05
46,704.328,0.54094,2.41263,1.03675,0.87695,0.92274,0.9622,0.88728,0.47678,0.67668,1.07417,6.5379e-05,6.5379e-05,6.5379e-05
47,719.485,0.52402,2.3272,1.03225,0.88387,0.9345,0.95875,0.87609,0.51521,0.65435,1.10617,6.47652e-05,6.47652e-05,6.47652e-05
48,734.593,0.54986,2.38289,1.05762,0.88249,0.94603,0.95637,0.9018,0.41445,0.61042,1.02413,6.41514e-05,6.41514e-05,6.41514e-05
49,749.805,0.53677,2.26395,1.04849,0.90741,0.89363,0.96135,0.89758,0.41812,0.63975,1.03729,6.35376e-05,6.35376e-05,6.35376e-05
50,765.092,0.54575,2.2614,1.04759,0.877,0.93153,0.96154,0.89562,0.44478,0.62395,1.05321,6.29238e-05,6.29238e-05,6.29238e-05
